City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,Aklavik,68.2191,-135.0107,30.25,89,100,7.67,CA,2022-04-27 03:03:55
161,Vestmannaeyjar,63.4427,-20.2734,45.81,78,99,3.83,IS,2022-04-27 03:03:55
162,Ciney,50.2945,5.1002,38.57,89,9,4.18,BE,2022-04-27 03:03:56
163,Brae,60.3964,-1.353,40.17,67,93,4.99,GB,2022-04-27 03:03:56
164,Tawang,27.5833,91.8667,56.44,52,35,5.39,IN,2022-04-27 03:03:57
165,Ipixuna,-1.7625,-48.8043,73.6,97,100,1.07,BR,2022-04-27 03:03:57
166,Kampene,-3.6,26.6667,67.95,100,100,2.86,CD,2022-04-27 03:03:57
167,Batsfjord,70.6345,29.7185,17.38,92,100,27.63,NO,2022-04-27 03:03:58
168,Ulaangom,49.9811,92.0667,44.49,19,100,3.85,MN,2022-04-27 03:03:58
169,Monrovia,6.3005,-10.7969,80.11,86,99,5.53,LR,2022-04-27 03:02:42
170,Lebu,-37.6167,-73.65,49.87,85,74,13.65,CL,2022-04-27 03:03:59
171,Bathsheba,13.2167,-59.5167,77.85,85,100,9.62,BB,2022-04-27 03:03:22
172,Gairo,39.8497,9.5047,48.27,57,4,3.42,IT,2022-04-27 03:03:59
173,Takoradi,4.8845,-1.7554,79.41,88,100,9.06,GH,2022-04-27 03:02:41
174,Hithadhoo,-0.6,73.0833,84.34,73,99,5.28,MV,2022-04-27 03:04:00
175,Anadyr,64.75,177.4833,30.7,100,100,22.37,RU,2022-04-27 03:04:00
176,Mayya,61.7333,130.2811,33.12,58,99,7.65,RU,2022-04-27 03:04:01
177,Tura,25.5198,90.2201,83.82,65,12,6.51,IN,2022-04-27 03:04:01
178,Touros,-5.1989,-35.4608,75.87,87,6,10.54,BR,2022-04-27 03:04:01
179,Abeche,13.8292,20.8324,83.43,23,71,2.3,TD,2022-04-27 03:04:02
180,Bahia Blanca,-38.7196,-62.2724,60.28,41,72,13.89,AR,2022-04-27 03:04:02
181,Domoni,-12.2569,44.5319,79.36,84,78,2.62,KM,2022-04-27 03:04:03
182,Chokurdakh,70.6333,147.9167,15.66,90,100,10.98,RU,2022-04-27 03:04:03
183,Port Blair,11.6667,92.75,84.29,74,100,5.53,IN,2022-04-27 03:04:04
184,Shitkino,56.3703,98.3543,36.5,57,100,9.69,RU,2022-04-27 03:05:43
185,Coahuayana,18.7333,-103.6833,71.83,81,2,0.65,MX,2022-04-27 03:05:44
186,Ust-Nera,64.5667,143.2,22.32,77,100,4.99,RU,2022-04-27 03:05:44
187,Barra Do Garcas,-15.89,-52.2567,74.73,60,21,0.38,BR,2022-04-27 03:05:45
188,Santa Rosa,14.3122,121.1114,93.18,72,55,13.67,PH,2022-04-27 03:05:45
189,Camargo,27.6667,-105.1667,71.96,46,99,14.83,MX,2022-04-27 03:05:45
190,Puerto Del Rosario,28.5004,-13.8627,62.35,77,0,12.66,ES,2022-04-27 03:05:46
191,Chuy,-33.6971,-53.4616,69.21,91,100,14.76,UY,2022-04-27 03:05:46
192,Forestville,38.8451,-76.875,59.16,86,40,6.91,US,2022-04-27 03:05:47
193,Xining,36.6167,101.7667,46.02,65,100,10.31,CN,2022-04-27 03:05:47
194,Cap Malheureux,-19.9842,57.6142,73.47,79,14,11.16,MU,2022-04-27 03:05:47
195,Hami,42.8,93.45,59.67,38,45,4.03,CN,2022-04-27 03:05:48
196,Fairbanks,64.8378,-147.7164,49.96,40,75,3.44,US,2022-04-27 03:03:59
197,El Tigre,8.8875,-64.2454,74.17,90,100,10.4,VE,2022-04-27 03:05:48
198,Padang,-0.9492,100.3543,87.85,67,28,3.69,ID,2022-04-27 03:01:27
199,Bambous Virieux,-20.3428,57.7575,73.22,80,28,8.05,MU,2022-04-27 03:05:49
200,Fortuna,40.5982,-124.1573,51.66,79,20,12.66,US,2022-04-27 03:05:49
201,Ostrovnoy,68.0531,39.5131,17.85,88,68,26.15,RU,2022-04-27 03:05:49
202,Flinders,-34.5833,150.8552,68.18,90,100,8.99,AU,2022-04-27 03:05:50
203,Margate,51.3813,1.3862,47.7,76,92,5.01,GB,2022-04-27 03:02:17
204,Turukhansk,65.8167,87.9833,30.22,81,77,8.86,RU,2022-04-27 03:05:50
205,Odweyne,9.4092,45.064,74.7,66,92,3.96,SO,2022-04-27 03:05:51
206,Bentiu,9.2333,29.8333,81.7,41,81,4.07,SS,2022-04-27 03:05:51
207,Chara,56.9064,118.2631,31.84,45,53,6.24,RU,2022-04-27 03:05:51
208,Ganzhou,28.8184,115.4327,75.58,82,71,8.14,CN,2022-04-27 03:03:12
209,Kovdor,67.5662,30.4758,17.96,60,57,11.68,RU,2022-04-27 03:05:52
210,Pergamino,-33.89,-60.5736,74.17,93,1,12.1,AR,2022-04-27 03:01:11
211,Aksarka,66.5606,67.7975,34.0,100,100,13.53,RU,2022-04-27 03:01:14
212,Akdagmadeni,39.6603,35.8836,52.59,66,85,1.48,TR,2022-04-27 03:05:53
213,Changping,40.2186,116.2197,49.64,16,97,7.56,CN,2022-04-27 03:05:53
214,Igdir,39.9237,44.045,59.99,55,40,9.22,TR,2022-04-27 03:05:53
215,Tornio,65.8481,24.1466,21.22,73,3,3.51,FI,2022-04-27 03:05:54
216,Zacatelco,19.2153,-98.2389,60.08,65,97,10.04,MX,2022-04-27 03:05:54
217,Bengkulu,-3.8004,102.2655,84.52,70,58,4.27,ID,2022-04-27 03:05:55
218,Severo-Kurilsk,50.6789,156.125,33.73,78,100,12.93,RU,2022-04-27 03:05:55
219,Sisimiut,66.9395,-53.6735,32.4,94,100,9.24,GL,2022-04-27 03:05:55
220,Te Anau,-45.4167,167.7167,57.18,64,52,1.88,NZ,2022-04-27 03:05:55
221,Pisco,-13.7,-76.2167,67.01,88,0,10.36,PE,2022-04-27 03:05:56
222,Yantal,56.8471,105.2542,34.41,96,100,7.07,RU,2022-04-27 03:05:56
223,Wad Rawah,15.1603,33.1397,86.45,11,65,10.27,SD,2022-04-27 03:05:56
224,Geraldton,-28.7667,114.6,66.61,77,75,18.41,AU,2022-04-27 03:02:34
225,Vicente Guerrero,19.1194,-98.1708,59.85,64,94,9.13,MX,2022-04-27 03:05:57
226,Pevek,69.7008,170.3133,35.08,69,100,22.53,RU,2022-04-27 03:05:57
227,Kahului,20.8947,-156.47,77.97,86,57,15.99,US,2022-04-27 03:03:39
228,Fredericksburg,38.3032,-77.4605,58.01,93,100,0.0,US,2022-04-27 03:04:46
229,Beloha,-25.1667,45.05,71.58,91,100,11.74,MG,2022-04-27 03:05:58
230,Iskilip,40.7353,34.4739,56.44,53,100,5.99,TR,2022-04-27 03:06:58
231,Clyde River,70.4692,-68.5914,3.11,96,97,7.74,CA,2022-04-27 03:06:59
232,Lorengau,-2.0226,147.2712,83.23,80,94,9.01,PG,2022-04-27 03:06:59
233,Kodinsk,58.6881,99.1844,35.13,77,90,9.31,RU,2022-04-27 03:07:00
234,Santo Domingo,18.5001,-69.9886,75.04,83,20,9.22,DO,2022-04-27 03:06:39
235,Okmulgee,35.6234,-95.9605,56.08,66,0,0.0,US,2022-04-27 03:07:00
236,Gouyave,12.1646,-61.7296,75.97,94,20,0.0,GD,2022-04-27 03:07:01
237,Qasigiannguit,68.8193,-51.1922,37.65,79,100,8.88,GL,2022-04-27 03:07:01
238,Honningsvag,70.9821,25.9704,20.95,79,75,27.63,NO,2022-04-27 03:07:01
239,Kapiri Mposhi,-13.9652,28.6809,58.53,92,56,7.05,ZM,2022-04-27 03:07:02
240,Govindgarh,27.5,76.9833,94.93,11,0,4.27,IN,2022-04-27 03:07:02
241,Cukai,4.25,103.4167,87.17,68,14,5.21,MY,2022-04-27 03:07:03
242,Rovaniemi,66.5,25.7167,20.61,68,0,3.44,FI,2022-04-27 03:07:03
243,Ahuimanu,21.4447,-157.8378,80.31,69,0,13.8,US,2022-04-27 03:07:04
244,Nemuro,43.3236,145.575,48.4,82,100,16.89,JP,2022-04-27 03:07:04
245,Amahai,-3.3333,128.9167,85.91,69,94,4.88,ID,2022-04-27 03:07:04
246,Acarau,-2.8856,-40.12,77.04,85,98,10.49,BR,2022-04-27 03:07:05
247,Sitka,57.0531,-135.33,46.29,71,40,16.11,US,2022-04-27 03:07:05
248,Sao Filipe,14.8961,-24.4956,73.08,69,4,13.29,CV,2022-04-27 03:07:05
249,Labuhan,-6.8844,112.2051,85.42,68,100,3.47,ID,2022-04-27 03:07:06
250,Obera,-27.4871,-55.1199,77.43,72,4,8.08,AR,2022-04-27 03:07:06
251,Ormara,25.2088,64.6357,82.36,79,0,11.36,PK,2022-04-27 03:07:07
252,Trier,49.7557,6.6394,45.43,95,47,3.47,DE,2022-04-27 03:07:07
253,Kosa,59.9445,54.9977,43.61,94,100,3.27,RU,2022-04-27 03:07:08
254,Upata,8.0086,-62.3989,73.06,95,100,1.57,VE,2022-04-27 03:07:08
255,Samarai,-10.6167,150.6667,84.11,72,97,2.68,PG,2022-04-27 03:07:09
256,Coquimbo,-29.9533,-71.3436,61.34,77,1,2.64,CL,2022-04-27 03:02:22
257,Yambio,4.5721,28.3955,66.27,96,100,4.79,SS,2022-04-27 03:07:09
258,Rivne,50.6231,26.2274,41.79,91,85,4.92,UA,2022-04-27 03:06:20
259,Oktyabrskiy,54.4815,53.471,56.89,65,99,15.35,RU,2022-04-27 03:07:10
260,Ponta Do Sol,32.6667,-17.1,63.23,64,0,2.71,PT,2022-04-27 03:07:10
261,Mezen,65.8522,44.24,23.74,72,100,10.2,RU,2022-04-27 03:07:11
262,Jamestown,42.097,-79.2353,41.02,65,100,13.8,US,2022-04-27 03:02:51
263,Hofn,64.2539,-15.2082,42.49,72,62,4.29,IS,2022-04-27 03:07:11
264,Grand Bel Air,-20.4064,57.6736,72.68,81,22,8.1,MU,2022-04-27 03:07:12
265,Staryy Nadym,65.6118,72.6842,34.3,99,100,18.59,RU,2022-04-27 03:07:12
266,Bethel,41.3712,-73.414,54.9,93,100,3.67,US,2022-04-27 03:07:12
267,Black River,18.0264,-77.8487,75.6,83,43,2.84,JM,2022-04-27 03:07:13
268,Plettenberg Bay,-34.0527,23.3716,55.22,77,0,3.36,ZA,2022-04-27 03:07:13
269,Port Hedland,-20.3167,118.5667,84.25,54,100,9.22,AU,2022-04-27 03:07:14
270,Kasama,-10.2129,31.1808,59.43,98,100,3.02,ZM,2022-04-27 03:07:14
271,Zhigalovo,54.8097,105.1578,42.84,60,100,11.74,RU,2022-04-27 03:07:15
272,Sabang,5.8933,95.3214,84.09,76,100,9.73,ID,2022-04-27 03:07:15
273,Quelimane,-17.8786,36.8883,70.56,96,67,4.23,MZ,2022-04-27 03:07:16
274,Alwaye,10.1167,76.35,82.35,83,20,4.61,IN,2022-04-27 03:08:16
275,Adre,13.4667,22.2,80.06,33,86,3.58,TD,2022-04-27 03:08:16
276,Kieta,-6.2167,155.6333,85.42,68,28,4.36,PG,2022-04-27 03:08:17
277,Yumen,40.2833,97.2,58.05,32,42,17.11,CN,2022-04-27 03:08:17
278,Narsaq,60.9167,-46.05,37.62,89,100,4.34,GL,2022-04-27 03:08:18
279,Jambi,-1.6,103.6167,89.51,62,89,0.47,ID,2022-04-27 03:03:54
280,Rapid Valley,44.0625,-103.1463,53.33,47,0,10.36,US,2022-04-27 03:08:18
281,Wad Madani,14.4012,33.5199,88.81,15,100,10.96,SD,2022-04-27 03:08:19
282,Gat,31.61,34.7642,71.4,77,52,4.47,IL,2022-04-27 03:08:19
283,Kidal,18.4411,1.4078,76.12,25,0,10.85,ML,2022-04-27 03:08:20
284,Lata,40.1629,-8.3327,51.93,96,3,2.01,PT,2022-04-27 03:08:20
285,Dunedin,-45.8742,170.5036,54.81,80,84,3.0,NZ,2022-04-27 03:08:20
286,Sao Geraldo Do Araguaia,-6.4006,-48.555,75.47,87,95,1.39,BR,2022-04-27 03:08:21
287,Tame,6.461,-71.73,73.54,87,100,2.59,CO,2022-04-27 03:08:21
288,Scarborough,54.2797,-0.4044,44.17,73,21,5.99,GB,2022-04-27 03:08:22
289,Nanortalik,60.1432,-45.2371,36.61,81,100,9.17,GL,2022-04-27 03:08:22
290,Huescar,37.811,-2.5412,56.26,77,100,1.59,ES,2022-04-27 03:08:23
291,Ribeira Grande,38.5167,-28.7,63.23,94,96,24.25,PT,2022-04-27 03:08:23
292,Ogdensburg,44.6942,-75.4863,47.5,81,100,6.91,US,2022-04-27 03:07:39
293,Caravelas,-17.7125,-39.2481,74.64,80,0,4.81,BR,2022-04-27 03:08:23
294,Faya,18.3851,42.4509,50.52,52,0,3.8,SA,2022-04-27 03:08:24
